k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,lastNum,num
18,1.76666666666667,0,33.6,14.6666666666667,12.7272727272727,25,7.26315789473684,28,3,0,77,808,1659
21.2,1.73333333333333,20.625,31.2,25.3333333333333,6.18181818181818,24.2857142857143,6.10526315789474,36,2.66666666666667,0,80.6666666666667,774,1704
16,0.866666666666667,0,16,21.3333333333333,6.18181818181818,15.7142857142857,6,16,2,0,36.6666666666667,877,1735
18.4,1,0,20.8,18,3.09090909090909,15,6.52631578947368,44,2.66666666666667,0,36.6666666666667,613,1439
16.8,1.16666666666667,40,35.2,28.6666666666667,6,28.5714285714286,6.21052631578947,0,2.66666666666667,0,62.3333333333333,487,950
19.6,1.16666666666667,0,32,24.6666666666667,6,31.4285714285714,6.52631578947368,28,3.33333333333333,0,67.8333333333333,865,1700
23.2,2.36666666666667,20,40.8,21.3333333333333,9.09090909090909,27.8571428571429,7.15789473684211,52,4.66666666666667,0,58.6666666666667,624,2194
25.2,1.7,0,49.6,21.3333333333333,12.1818181818182,27.8571428571429,7.78947368421053,52,3,0,93.5,1048,2385
21.2,2.86666666666667,0,40,46,12,20,6.94736842105263,16,3.33333333333333,0,99,1143,2421
18.4,1.53333333333333,0,26.4,42.6666666666667,9.09090909090909,19.2857142857143,6.63157894736842,28,2.33333333333333,0,73.3333333333333,1333,2592
22.4,1.33333333333333,20,22.4,28,6,12.8571428571429,7.26315789473684,28,2.66666666666667,0,40.3333333333333,950,2159
24.4,1.86666666666667,40,26.4,28.6666666666667,9.09090909090909,18.5714285714286,6.63157894736842,8,2.33333333333333,0,73.3333333333333,780,1518
17.6,1.56666666666667,20.625,44.8,22,9.27272727272727,32.1428571428571,5.57894736842105,36,3,0,91.6666666666667,1283,1229
20,0.866666666666667,20.625,33.6,22,9.27272727272727,27.8571428571429,7.05263157894737,36,4.66666666666667,0,67.8333333333333,1544,1942
21.6,0.366666666666667,0,36,18.6666666666667,6.36363636363636,32.1428571428571,7.26315789473684,44,4.33333333333333,0,58.6666666666667,1659,2500
