k1,k2,k4,k7,k8,k9,k11,k12,k13,num
14,1.2,36.8,28.5714285714286,4.21052631578947,108,85,84.3333333333333,11.4714285714286,3488
14.4,1.03333333333333,29.6,17.8571428571429,4.84210526315789,108,41,25.6666666666667,0,3765
16,1.33333333333333,28.8,15,4.73684210526316,156,35,40.3333333333333,2.2,2836
13.7142857142857,0.888888888888889,41.6,28.8461538461538,4.67451523545706,195,28,72.6,5.70625,2102
14.0952380952381,1.09401709401709,49.6,20.7692307692308,4.67451523545706,156,58.3333333333333,104.866666666667,1.1,3451
16.3809523809524,1.12820512820513,49.6,20.7692307692308,4.54986149584488,218.4,59.1111111111111,104.866666666667,1.1,4307
17.1428571428571,0.683760683760684,59.2,24.2307692307692,4.98614958448753,195,70.7777777777778,92.7666666666667,3.36875,4570
14.4761904761905,1.57264957264957,54.4,24.2307692307692,4.2382271468144,218.4,52.1111111111111,133.1,2.26875,4525
14.0952380952381,2.94017094017094,44.8,16.1538461538462,4.79916897506925,140.4,29.5555555555556,72.6,2.13125,4794
15.2380952380952,1.74358974358974,51.2,16.1538461538462,4.98614958448753,124.8,61.4444444444444,108.9,2.2,4086
20.5714285714286,1.12820512820513,54.4,32.3076923076923,4.61218836565097,241.8,59.8888888888889,121,2.26875,2919
17.5238095238095,1.81196581196581,68.8,30,4.92382271468144,218.4,60.6666666666667,72.6,6.875,4336
18.2857142857143,2.4957264957265,65.6,33.4615384615385,5.29778393351801,304.2,67.6666666666667,104.866666666667,2.26875,5288
18.6666666666667,2.22222222222222,73.6,28.8461538461538,4.92382271468144,335.4,70,169.4,3.36875,5493
18.6666666666667,1.12820512820513,67.2,32.3076923076923,4.54986149584488,241.8,63,173.433333333333,1.16875,5106
17.9047619047619,1.53846153846154,51.2,15,4.86149584487535,202.8,45.1111111111111,76.6333333333333,1.1,5596
16.3809523809524,0.854700854700855,49.6,13.8461538461538,5.23545706371191,210.6,50.5555555555556,80.6666666666667,2.13125,4601
19.8095238095238,3.17948717948718,73.6,30,4.42520775623269,327.6,73.8888888888889,141.166666666667,3.36875,3314
21.3333333333333,1.33333333333333,73.6,33.4615384615385,5.29778393351801,327.6,63,165.366666666667,4.46875,4959
19.8095238095238,1.33333333333333,80,25.3846153846154,4.42520775623269,491.4,65.3333333333333,108.9,0,5788
18.2857142857143,0.82051282051282,64,40.3846153846154,4.98614958448753,226.2,58.3333333333333,125.033333333333,3.1625,5905
20.1904761904762,2.15384615384615,65.6,34.6153846153846,4.17590027700831,327.6,43.5555555555556,100.833333333333,3.3,4684
17.5238095238095,0.854700854700855,68.8,19.6153846153846,4.42520775623269,257.4,49.7777777777778,72.6,0,5983
17.1428571428571,1.26495726495727,44.8,18.4615384615385,4.61218836565097,195,26.4444444444444,84.7,1.03125,5893
18.6666666666667,2.18803418803419,56,12.6923076923077,5.23545706371191,226.2,48.2222222222222,76.6333333333333,1.1,4464
23.6190476190476,3.17948717948718,44.8,15,3.98891966759003,132.6,63,125.033333333333,0,4194
28.1904761904762,2.66666666666667,57.6,15,4.73684210526316,358.8,35,100.833333333333,5.0875,4063
25.9047619047619,1.70940170940171,81.6,26.5384615384615,4.67451523545706,499.2,70.7777777777778,108.9,1.1,4371
22.0952380952381,1.05982905982906,75.2,28.8461538461538,4.61218836565097,397.8,59.8888888888889,141.166666666667,4.2625,6049
22.8571428571429,2.15384615384615,62.4,18.4615384615385,4.86149584487535,304.2,59.8888888888889,121,4.2625,7233
20.952380952381,1.70940170940171,52.8,19.6153846153846,5.23545706371191,265.2,53.6666666666667,112.933333333333,1.1,6483
20.1904761904762,2.42735042735043,94.4,43.8461538461538,5.42243767313019,639.6,58.3333333333333,157.3,3.3,4939
21.3333333333333,0.64957264957265,75.2,34.6153846153846,5.04847645429363,608.4,63.7777777777778,189.566666666667,3.3,6238
20.5714285714286,1.09401709401709,78.4,47.3076923076923,5.11080332409972,530.4,51.3333333333333,149.233333333333,3.3,7049
19.4285714285714,1.74358974358974,83.2,36.9230769230769,6.23268698060942,569.4,77.7777777777778,197.633333333333,4.4,6874
22.4761904761905,1.5042735042735,67.2,38.0769230769231,5.11080332409972,374.4,50.5555555555556,116.966666666667,3.3,6263
15.6190476190476,1.70940170940171,48,27.6923076923077,4.86149584487535,249.6,33.4444444444444,121,1.1,6418
16.7619047619048,2.05128205128205,56,24.2307692307692,5.11080332409972,436.8,35,96.8,1.03125,5256
20.5714285714286,1.05982905982906,73.6,34.6153846153846,5.3601108033241,780,29.5555555555556,157.3,3.1625,3676
15.6190476190476,1.70940170940171,64,23.0769230769231,4.92382271468144,561.6,39.6666666666667,161.333333333333,1.1,5224
13.3333333333333,1.88034188034188,57.6,40.3846153846154,5.17313019390582,585,28.7777777777778,129.066666666667,4.19375,5789
15.6190476190476,1.91452991452991,52.8,48.4615384615385,4.48753462603878,452.4,16.3333333333333,165.366666666667,0,5712
12.1904761904762,1.02564102564103,51.2,43.8461538461538,4.48753462603878,405.6,35.7777777777778,96.8,2.0625,5247
15.2380952380952,2.18803418803419,41.6,24.2307692307692,4.98614958448753,304.2,27.2222222222222,80.6666666666667,1.1,5037
13.3333333333333,1.5042735042735,41.6,24.2307692307692,4.92382271468144,374.4,17.1111111111111,80.6666666666667,3.1625,4042
15.6190476190476,2.18803418803419,68.8,47.3076923076923,4.54986149584488,694.2,17.1111111111111,137.133333333333,1.1,2711
14.4761904761905,2.83760683760684,44.8,42.6923076923077,4.73684210526316,608.4,44.3333333333333,76.6333333333333,6.7375,3894
14.0952380952381,0.64957264957265,41.6,30,4.36288088642659,327.6,23.3333333333333,84.7,1.1,4533
12.1904761904762,1.5042735042735,43.2,32.3076923076923,5.17313019390582,288.6,17.1111111111111,52.4333333333333,2.13125,4136
11.4285714285714,1.53846153846154,48,36.9230769230769,4.73684210526316,351,24.1111111111111,116.966666666667,2.2,3706
10.6666666666667,0.854700854700855,30.4,27.6923076923077,4.67451523545706,234,13.2222222222222,48.4,2.13125,3592
10.6666666666667,0.615384615384615,36.8,23.0769230769231,5.11080332409972,288.6,36.5555555555556,32.2666666666667,5.29375,2876
10.6666666666667,0.205128205128205,51.2,26.5384615384615,4.98614958448753,483.6,33.4444444444444,121,2.2,1792
11.4285714285714,1.09401709401709,46.4,42.6923076923077,4.92382271468144,460.2,44.3333333333333,96.8,3.36875,2643
12.1904761904762,0.854700854700855,38.4,42.6923076923077,5.29778393351801,429,10.1111111111111,60.5,1.1,3035
8.76190476190476,0.854700854700855,43.2,40.3846153846154,4.79916897506925,413.4,16.3333333333333,40.3333333333333,0,2830
9.14285714285714,0.82051282051282,35.2,47.3076923076923,4.11357340720222,358.8,19.4444444444444,52.4333333333333,4.19375,2594
9.90476190476191,0.444444444444445,25.6,31.1538461538462,4.73684210526316,249.6,20.2222222222222,28.2333333333333,1.1,2651
8,0.615384615384615,28.8,24.2307692307692,4.79916897506925,241.8,19.4444444444444,40.3333333333333,2.13125,2021
10.2857142857143,1.09401709401709,28.8,33.4615384615385,4.54986149584488,483.6,17.1111111111111,32.2666666666667,3.3,1278
10.2857142857143,0.64957264957265,35.2,36.9230769230769,4.86149584487535,312,13.2222222222222,60.5,3.23125,1881
9.52380952380952,0.444444444444445,33.6,36.9230769230769,5.23545706371191,351,27.2222222222222,72.6,2.2,2238
10.2857142857143,1.2991452991453,30.4,38.0769230769231,4.42520775623269,436.8,10.1111111111111,48.4,4.4,2045
4.95238095238095,1.2991452991453,32,31.1538461538462,4.42520775623269,234,7,12.1,3.3,1934
8.76190476190476,1.74358974358974,20.8,23.0769230769231,4.11357340720222,273,10.1111111111111,20.1666666666667,2.2,1941
8.76190476190476,1.05982905982906,25.6,20.7692307692308,4.2382271468144,257.4,10.1111111111111,12.1,2.13125,1384
8.38095238095238,0.82051282051282,32,33.4615384615385,4.11357340720222,397.8,13.2222222222222,24.2,3.1625,934
7.61904761904762,1.05982905982906,32,30,4.73684210526316,421.2,20.2222222222222,40.3333333333333,1.1,1417
8.76190476190476,0.64957264957265,32,39.2307692307692,4.36288088642659,351,23.3333333333333,48.4,2.13125,1708
8.38095238095238,0.64957264957265,27.2,42.6923076923077,4.11357340720222,483.6,30.3333333333333,52.4333333333333,3.3,1550
6.85714285714286,0.64957264957265,25.6,32.3076923076923,4.17590027700831,421.2,33.4444444444444,32.2666666666667,4.33125,1621
7.23809523809524,0.205128205128205,24,31.1538461538462,3.98891966759003,296.4,20.2222222222222,28.2333333333333,2.13125,1519
8.76190476190476,0.444444444444445,20.8,32.3076923076923,4.2382271468144,343.2,10.1111111111111,56.4666666666667,2.2,1307
7.23809523809524,1.2991452991453,30.4,48.4615384615385,4.2382271468144,460.2,7,52.4333333333333,2.2,868
7.23809523809524,0.64957264957265,27.2,31.1538461538462,4.3005540166205,507,30.3333333333333,40.3333333333333,2.2,1435
7.61904761904762,1.09401709401709,33.6,35.7692307692308,3.98891966759003,507,23.3333333333333,40.3333333333333,1.1,1779
9.90476190476191,0,32,40.3846153846154,3.55263157894737,553.8,34.2222222222222,56.4666666666667,1.1,1674
8.76190476190476,0.64957264957265,25.6,35.7692307692308,3.2409972299169,429,27.2222222222222,48.4,5.5,1709
6.85714285714286,0.64957264957265,20.8,28.8461538461538,3.98891966759003,218.4,21,28.2333333333333,0,1630
8.76190476190476,1.05982905982906,17.6,31.1538461538462,4.3005540166205,351,7,48.4,0,1282
8.76190476190476,0.444444444444445,32,42.6923076923077,3.98891966759003,390,17.1111111111111,32.2666666666667,2.2,1001
8.38095238095238,1.5042735042735,28.8,39.2307692307692,3.55263157894737,468,30.3333333333333,20.1666666666667,1.1,1380
9.90476190476191,1.33333333333333,30.4,39.2307692307692,3.92659279778393,436.8,24.1111111111111,48.4,4.4,1820
7.61904761904762,0.41025641025641,36.8,40.3846153846154,3.49030470914127,421.2,32.6666666666667,44.3666666666667,1.1,1753
6.47619047619048,0.64957264957265,32,36.9230769230769,3.49030470914127,343.2,13.2222222222222,52.4333333333333,0,1775
9.14285714285714,1.26495726495727,20.8,25.3846153846154,3.86426592797784,312,13.2222222222222,8.06666666666667,2.13125,1879
7.61904761904762,0.854700854700855,22.4,19.6153846153846,3.67728531855956,327.6,19.4444444444444,28.2333333333333,1.03125,1485
8.38095238095238,1.2991452991453,38.4,33.4615384615385,3.98891966759003,429,13.2222222222222,32.2666666666667,1.1,1029
7.23809523809524,0.854700854700855,30.4,38.0769230769231,4.11357340720222,436.8,17.1111111111111,28.2333333333333,2.13125,1669
7.61904761904762,0.854700854700855,32,40.3846153846154,4.17590027700831,429,13.2222222222222,32.2666666666667,2.13125,2189
6.09523809523809,1.05982905982906,27.2,28.8461538461538,3.98891966759003,397.8,19.4444444444444,52.4333333333333,4.2625,2246
8,0.854700854700855,33.6,34.6153846153846,3.67728531855956,436.8,26.4444444444444,32.2666666666667,2.13125,2275
8,1.09401709401709,25.6,25.3846153846154,3.92659279778393,249.6,20.2222222222222,40.3333333333333,4.33125,2457
9.52380952380952,1.70940170940171,27.2,21.9230769230769,4.3005540166205,304.2,13.2222222222222,32.2666666666667,0,2031
9.90476190476191,0.854700854700855,40,36.9230769230769,3.67728531855956,397.8,10.1111111111111,68.5666666666667,1.03125,1504
10.2857142857143,0.64957264957265,44.8,33.4615384615385,3.80193905817175,319.8,17.1111111111111,68.5666666666667,3.23125,2385
9.52380952380952,1.05982905982906,44.8,30,3.98891966759003,265.2,13.2222222222222,68.5666666666667,4.2625,3191
10.6666666666667,0.64957264957265,41.6,35.7692307692308,3.98891966759003,296.4,13.2222222222222,108.9,4.33125,3417
8,0.888888888888889,41.6,47.3076923076923,3.67728531855956,343.2,10.1111111111111,36.3,2.2,3432
11.8095238095238,0.888888888888889,36.8,21.9230769230769,4.17590027700831,234,17.1111111111111,56.4666666666667,0,3885
8.38095238095238,1.09401709401709,33.6,24.2307692307692,3.73961218836565,312,13.2222222222222,48.4,1.1,3101
11.4285714285714,1.09401709401709,57.6,62.3076923076923,3.92659279778393,382.2,17.1111111111111,96.8,1.1,2328
12.952380952381,0.444444444444445,44.8,46.1538461538462,3.49030470914127,312,20.2222222222222,108.9,3.3,3755
9.14285714285714,1.09401709401709,49.6,47.3076923076923,4.11357340720222,327.6,10.1111111111111,121,0,4942
11.8095238095238,0.854700854700855,41.6,24.2307692307692,3.80193905817175,296.4,3.11111111111111,72.6,0,5395
9.90476190476191,0.205128205128205,36.8,21.9230769230769,4.3005540166205,163.8,3.11111111111111,92.7666666666667,1.1,4225
13.3333333333333,0.444444444444445,27.2,27.6923076923077,3.61495844875346,273,0,72.6,1.1,3574
12.5714285714286,0.205128205128205,33.6,26.5384615384615,3.98891966759003,343.2,13.2222222222222,92.7666666666667,1.03125,5017
12.952380952381,0.82051282051282,52.8,33.4615384615385,3.1786703601108,358.8,6.22222222222222,104.866666666667,1.03125,4689
17.1428571428571,0.82051282051282,72,48.4615384615385,3.61495844875346,366.6,13.2222222222222,137.133333333333,3.09375,7629
22.0952380952381,1.26495726495727,68.8,56.5384615384615,3.61495844875346,351,23.3333333333333,173.433333333333,4.2625,9572
17.5238095238095,0.444444444444445,91.2,45,4.11357340720222,312,23.3333333333333,193.6,3.23125,10697
19.4285714285714,1.05982905982906,76.8,48.4615384615385,3.42797783933518,327.6,26.4444444444444,173.433333333333,6.4625,10743
22.0952380952381,0.854700854700855,70.4,41.5384615384615,3.80193905817175,312,17.1111111111111,165.366666666667,3.23125,12339
22.8571428571429,1.5042735042735,97.6,46.1538461538462,3.86426592797784,335.4,17.1111111111111,133.1,1.03125,10172
22.4761904761905,1.47008547008547,124.8,54.2307692307692,3.73961218836565,296.4,10.1111111111111,141.166666666667,3.1625,8391
19.4285714285714,2.32478632478632,126.4,60,3.86426592797784,335.4,19.4444444444444,266.2,5.29375,12014
22.0952380952381,2.35897435897436,121.6,71.5384615384615,4.05124653739612,351,23.3333333333333,258.133333333333,0,14165
23.6190476190476,2.32478632478632,139.2,64.6153846153846,4.05124653739612,312,20.2222222222222,225.866666666667,2.13125,15213
24,2.08547008547009,128,50.7692307692308,3.55263157894737,343.2,42.7777777777778,205.7,1.03125,15634
22.8571428571429,2.97435897435897,99.2,43.8461538461538,4.36288088642659,218.4,33.4444444444444,237.966666666667,0,15747
23.2380952380952,2.4957264957265,86.4,45,3.80193905817175,210.6,35.7777777777778,169.4,2.0625,14468
23.2380952380952,0.82051282051282,105.6,47.3076923076923,4.05124653739612,226.2,28.7777777777778,225.866666666667,2.0625,12068
24.3809523809524,2.08547008547009,150.4,49.6153846153846,3.73961218836565,234,42.7777777777778,254.1,3.1625,10570
30.4761904761905,1.88034188034188,152,66.9230769230769,3.42797783933518,296.4,45.1111111111111,213.766666666667,4.125,15804
27.8095238095238,2.01709401709402,126.4,50.7692307692308,3.61495844875346,374.4,19.4444444444444,254.1,1.99375,18889
29.7142857142857,1.81196581196581,118.4,75,3.86426592797784,249.6,18.6666666666667,318.633333333333,0,20362
27.047619047619,1.84615384615385,105.6,41.5384615384615,3.80193905817175,265.2,31.8888888888889,189.566666666667,1.03125,20148
27.4285714285714,3.41880341880342,96,46.1538461538462,3.49030470914127,226.2,24.8888888888889,225.866666666667,2.0625,17826
31.2380952380952,2.22222222222222,129.6,115.384615384615,3.92659279778393,382.2,38.1111111111111,403.333333333333,1.99375,14852
33.9047619047619,1.77777777777778,134.4,86.5384615384615,4.17590027700831,358.8,55.2222222222222,346.866666666667,6.05,19949
38.0952380952381,0.82051282051282,140.8,86.5384615384615,4.79916897506925,444.6,38.1111111111111,367.033333333333,2.0625,23915
35.4285714285714,1.60683760683761,160,87.6923076923077,4.3005540166205,405.6,47.4444444444444,286.366666666667,3.09375,25148
33.1428571428571,2.39316239316239,140.8,93.4615384615385,4.79916897506925,351,31.1111111111111,302.5,1.99375,25870
