k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,num
9.52380952380952,1.05982905982906,20.625,44.8,25.0175438596491,3.63636363636364,30,3.98891966759003,265.2,2.91666666666667,13.2222222222222,68.5666666666667,4.2625,3574
10.6666666666667,0.64957264957265,10.625,41.6,8.70175438596491,3.81818181818182,35.7692307692308,3.98891966759003,296.4,3.20833333333333,13.2222222222222,108.9,4.33125,5017
8,0.888888888888889,21.25,41.6,14.140350877193,3.81818181818182,47.3076923076923,3.67728531855956,343.2,3.59722222222222,10.1111111111111,36.3,2.2,4689
11.8095238095238,0.888888888888889,10.625,36.8,5.43859649122807,3.81818181818182,21.9230769230769,4.17590027700831,234,1.16666666666667,17.1111111111111,56.4666666666667,0,7629
8.38095238095238,1.09401709401709,0,33.6,16.859649122807,7.45454545454545,24.2307692307692,3.73961218836565,312,1.26388888888889,13.2222222222222,48.4,1.1,9572
11.4285714285714,1.09401709401709,0,57.6,16.859649122807,3.81818181818182,62.3076923076923,3.92659279778393,382.2,2.33333333333333,17.1111111111111,96.8,1.1,10697
12.952380952381,0.444444444444445,0,44.8,11.4210526315789,3.81818181818182,46.1538461538462,3.49030470914127,312,2.625,20.2222222222222,108.9,3.3,10743
9.14285714285714,1.09401709401709,0,49.6,5.43859649122807,3.81818181818182,47.3076923076923,4.11357340720222,327.6,1.55555555555556,10.1111111111111,121,0,12339
11.8095238095238,0.854700854700855,21.25,41.6,5.43859649122807,7.63636363636364,24.2307692307692,3.80193905817175,296.4,2.43055555555556,3.11111111111111,72.6,0,10172
9.90476190476191,0.205128205128205,20.625,36.8,5.43859649122807,3.63636363636364,21.9230769230769,4.3005540166205,163.8,1.06944444444444,3.11111111111111,92.7666666666667,1.1,8391
13.3333333333333,0.444444444444445,0,27.2,11.4210526315789,0,27.6923076923077,3.61495844875346,273,1.36111111111111,0,72.6,1.1,12014
12.5714285714286,0.205128205128205,31.25,33.6,11.4210526315789,0,26.5384615384615,3.98891966759003,343.2,0.972222222222222,13.2222222222222,92.7666666666667,1.03125,14165
12.952380952381,0.82051282051282,30.625,52.8,27.1929824561404,7.27272727272727,33.4615384615385,3.1786703601108,358.8,2.23611111111111,6.22222222222222,104.866666666667,1.03125,15213
17.1428571428571,0.82051282051282,20,72,29.9122807017544,0,48.4615384615385,3.61495844875346,366.6,3.11111111111111,13.2222222222222,137.133333333333,3.09375,15634
22.0952380952381,1.26495726495727,0,68.8,8.1578947368421,3.63636363636364,56.5384615384615,3.61495844875346,351,2.81944444444444,23.3333333333333,173.433333333333,4.2625,15747
17.5238095238095,0.444444444444445,0,91.2,31,7.45454545454545,45,4.11357340720222,312,3.20833333333333,23.3333333333333,193.6,3.23125,14468
19.4285714285714,1.05982905982906,10.625,76.8,33.1754385964912,0,48.4615384615385,3.42797783933518,327.6,4.375,26.4444444444444,173.433333333333,6.4625,12068
22.0952380952381,0.854700854700855,0,70.4,28.280701754386,7.63636363636364,41.5384615384615,3.80193905817175,312,2.04166666666667,17.1111111111111,165.366666666667,3.23125,10570
22.8571428571429,1.5042735042735,10.625,97.6,28.280701754386,3.81818181818182,46.1538461538462,3.86426592797784,335.4,3.40277777777778,17.1111111111111,133.1,1.03125,15804
22.4761904761905,1.47008547008547,20.625,124.8,44.5964912280702,3.63636363636364,54.2307692307692,3.73961218836565,296.4,2.91666666666667,10.1111111111111,141.166666666667,3.1625,18889
19.4285714285714,2.32478632478632,10,126.4,35.8947368421053,7.27272727272727,60,3.86426592797784,335.4,2.625,19.4444444444444,266.2,5.29375,20362
22.0952380952381,2.35897435897436,0,121.6,31,0,71.5384615384615,4.05124653739612,351,3.20833333333333,23.3333333333333,258.133333333333,0,20148
23.6190476190476,2.32478632478632,0,139.2,33.1754385964912,3.63636363636364,64.6153846153846,4.05124653739612,312,2.72222222222222,20.2222222222222,225.866666666667,2.13125,17826
24,2.08547008547009,0,128,21.7543859649123,7.27272727272727,50.7692307692308,3.55263157894737,343.2,3.01388888888889,42.7777777777778,205.7,1.03125,14852
22.8571428571429,2.97435897435897,20.625,99.2,25.0175438596491,3.63636363636364,43.8461538461538,4.36288088642659,218.4,2.04166666666667,33.4444444444444,237.966666666667,0,19949
23.2380952380952,2.4957264957265,0,86.4,21.7543859649123,3.63636363636364,45,3.80193905817175,210.6,2.13888888888889,35.7777777777778,169.4,2.0625,23915
23.2380952380952,0.82051282051282,30,105.6,40.2456140350877,0,47.3076923076923,4.05124653739612,226.2,2.13888888888889,28.7777777777778,225.866666666667,2.0625,25148
24.3809523809524,2.08547008547009,0,150.4,49.4912280701754,7.27272727272727,49.6153846153846,3.73961218836565,234,2.23611111111111,42.7777777777778,254.1,3.1625,25870
